Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
13131,1500,1285,164,0,1460,1285,164,0
13132,2082,1696,238,0,2008,1696,238,0
13134,25,20,0,0,20,20,0,0
13135,3242,2582,365,18,3068,2582,365,18
13136,243,178,26,0,219,178,26,0
13138,15,15,0,0,15,15,0,0
13140,1857,1475,223,0,1774,1475,223,0
13141,249,207,37,0,249,207,37,0
13142,2639,2291,146,21,2523,2291,146,21
13143,1176,822,201,0,1081,822,201,0
13144,568,489,55,0,553,489,55,0
13145,638,544,44,0,612,544,44,0
13146,868,658,96,6,817,658,96,6
13147,780,579,72,10,708,579,72,10
13148,5085,4283,435,20,4986,4283,435,20
13152,3814,2834,334,19,3534,2834,334,19
13153,170,170,0,0,170,170,0,0
13155,317,252,35,0,314,252,35,0
13156,866,806,11,0,866,806,11,0
13157,403,367,36,0,403,367,36,0
13158,833,688,97,0,802,688,97,0
13159,2699,2226,214,9,2573,2226,214,9
13160,997,786,67,0,951,786,67,0
13162,182,137,0,0,152,137,0,0
13163,115,101,6,0,113,101,6,0
13164,1405,1149,212,0,1369,1149,212,0
13165,4980,4331,375,15,4836,4331,375,15
13166,2923,2479,279,8,2851,2479,279,8
13167,1510,1304,100,8,1422,1304,100,8
13202,1262,556,101,256,1257,556,101,256
13203,6129,4049,690,552,6039,4049,690,552
13204,7593,5304,747,758,7482,5304,747,758
13205,6448,4497,705,694,6311,4497,705,694
13206,8244,6559,703,416,8115,6559,703,416
13207,5727,4107,652,354,5470,4107,652,354
13208,9261,6219,1620,472,9080,6219,1620,472
13209,6221,5435,537,92,6153,5435,537,92
13210,11182,4942,1014,1005,10567,4942,1014,1005
13211,3031,2630,250,24,3003,2630,250,24
13212,10117,8423,1017,67,9822,8423,1017,67
13214,3121,2159,257,127,2964,2159,257,127
13215,7438,6405,558,72,7131,6405,558,72
13219,6981,5856,662,163,6882,5856,662,163
13224,4267,2837,425,300,4102,2837,425,300
13290,0,0,0,0,0,0,0,0
13301,95,55,11,0,66,55,11,0
13302,736,582,107,0,711,582,107,0
13303,477,400,16,0,433,400,16,0
13304,665,571,21,3,619,571,21,3
13305,71,55,12,0,71,55,12,0
13308,1647,1483,42,6,1628,1483,42,6
13309,2994,2445,253,12,2912,2445,253,12
13310,346,261,24,0,299,261,24,0
13312,114,95,0,2,106,95,0,2
13313,250,157,70,11,250,157,70,11
13314,227,192,19,0,218,192,19,0
13315,840,624,94,6,730,624,94,6
13316,3100,2594,289,7,2990,2594,289,7
13317,1646,1356,175,6,1578,1356,175,6
13318,611,473,102,0,575,473,102,0
13319,612,513,57,19,612,513,57,19
13320,975,662,171,3,884,662,171,3
13321,567,505,39,0,544,505,39,0
13322,599,448,95,0,560,448,95,0
13323,5087,3873,340,0,4752,3873,340,0
13324,1001,859,58,4,976,859,58,4
13325,461,359,50,0,436,359,50,0
13326,2510,1780,262,22,2421,1780,262,22
13327,1043,834,110,7,983,834,110,7
13328,609,553,26,0,584,553,26,0
13329,1765,1419,207,22,1711,1419,207,22
13331,193,90,0,0,90,90,0,0
13332,1284,1056,121,2,1218,1056,121,2
13333,11,6,5,0,11,6,5,0
13334,485,426,24,0,479,426,24,0
13335,819,602,62,37,764,602,62,37
13337,276,187,77,0,264,187,77,0
13338,444,363,63,0,439,363,63,0
13339,2975,2320,261,7,2766,2320,261,7
13340,3818,3180,387,0,3692,3180,387,0
13341,29,29,0,0,29,29,0,0
13342,106,78,0,0,88,78,0,0
13343,661,551,86,0,645,551,86,0
13345,91,71,17,0,91,71,17,0
13346,2502,1498,95,18,2324,1498,95,18
13348,596,485,80,6,587,485,80,6
13350,3863,3149,206,43,3713,3149,206,43
13352,79,79,0,0,79,79,0,0
13353,30,28,0,0,28,28,0,0
13354,1541,1220,227,0,1450,1220,227,0
13355,322,276,4,0,294,276,4,0
13357,4718,3914,450,10,4537,3914,450,10
13360,209,149,13,0,196,149,13,0
13361,424,310,46,7,386,310,46,7
13362,78,75,0,0,78,75,0,0
13363,1299,1119,98,11,1242,1119,98,11
13364,165,74,57,0,144,74,57,0
13365,4091,3348,378,2,3931,3348,378,2
13367,3630,2800,347,24,3453,2800,347,24
13368,582,481,71,0,570,481,71,0
13402,881,656,64,0,789,656,64,0
13403,2213,1891,77,23,2050,1891,77,23
13404,111,93,9,0,102,93,9,0
13406,377,298,33,3,345,298,33,3
13407,2277,1833,239,13,2158,1833,239,13
13408,1184,653,104,55,1117,653,104,55
13409,1486,1231,158,0,1431,1231,158,0
13410,120,98,18,0,116,98,18,0
13411,1557,1153,226,9,1450,1153,226,9
13413,7222,6450,336,33,6931,6450,336,33
13415,26,18,8,0,26,18,8,0
13416,940,735,80,10,848,735,80,10
13417,1821,1557,209,15,1792,1557,209,15
13418,169,141,18,0,169,141,18,0
13420,577,437,14,10,555,437,14,10
13421,6530,5172,662,15,6298,5172,662,15
13424,1226,1040,70,0,1187,1040,70,0
13425,1087,809,127,2,997,809,127,2
13428,585,393,108,0,528,393,108,0
13431,975,774,78,7,915,774,78,7
13433,592,412,86,0,559,412,86,0
13435,104,93,2,0,100,93,2,0
13436,77,53,4,0,74,53,4,0
13437,214,191,16,0,207,191,16,0
13438,1881,1654,85,2,1817,1654,85,2
13439,1715,1221,149,57,1522,1221,149,57
13440,17934,15160,1443,287,17616,15160,1443,287
13441,28,28,0,0,28,28,0,0
13450,94,41,43,0,84,41,43,0
13452,1931,1585,137,7,1867,1585,137,7
13454,321,222,47,5,314,222,47,5
13456,2271,1907,257,0,2204,1907,257,0
13459,1096,839,55,2,988,839,55,2
13460,2008,1558,214,0,1842,1558,214,0
13461,1547,1390,65,0,1475,1390,65,0
13464,558,401,52,7,494,401,52,7
13468,252,173,34,0,210,173,34,0
13469,342,266,35,0,307,266,35,0
13470,237,188,35,0,227,188,35,0
13471,1448,1187,166,3,1401,1187,166,3
